,1,gemini,,,1,gpt,,,1,count
94,"True,True,True,True",25,,94,"True,True,False,True",2,,94,"True,True,False,True",2
95,"True,True,False,False",16,,95,AP19.csv,1,,95,"True,True,True,True",12
96,"True,True,True,False",9,,96, ,1,,96,AP19.csv,1
97,"True,True,False,True",7,,97,False,5,,97, ,1
98,AP19.csv,1,,98,"True,True,True,True",41,,98,False,7
99, ,1,,99,"True,True,False,False",9,,99,"True,True,True,True",33
100,False,5,,100,"True,True,False,True",8,,100,"True,True,False,False",8
101,"True,True,True,False",6,,101,"True,True,True,False",1,,101,"True,True,False,True",9
102,"True,True,False,False",5,,102,AP13.csv,1,,102,"True,True,True,False",7
103,"True,True,False,True",7,,103, ,1,,103,AP13.csv,1
104,"True,True,True,True",41,,104,False,3,,104, ,1
105,AP13.csv,1,,105,"True,True,True,True",58,,105,False,4
106, ,1,,106,"True,True,False,True",3,,106,"True,True,True,True",58
107,False,3,,107,AP1.csv,1,,107,"True,True,False,True",2
108,"True,True,True,True",57,,108, ,1,,108,AP1.csv,1
109,"True,True,False,True",3,,109,False,1,,109, ,1
110,"True,True,True,False",1,,110,"True,True,False,False",7,,110,False,3
111,AP1.csv,1,,111,"True,True,True,True",51,,111,"True,True,False,False",4
112, ,1,,112,"True,True,False,True",5,,112,"True,True,True,True",48
113,False,1,,113,AP4.csv,1,,113,"True,True,False,True",6
114,"True,True,False,False",2,,114, ,1,,114,"True,True,True,False",3
115,"True,True,True,True",50,,115,False,14,,115,AP4.csv,1
116,"True,True,False,True",8,,116,"True,True,True,True",44,,116, ,1
117,"True,True,True,False",3,,117,"True,True,False,True",6,,117,False,21
118,AP4.csv,1,,,,,,118,"True,True,True,True",37
119, ,1,,,,,,119,"True,True,True,False",1
120,False,13,,,,,,120,"True,True,False,True",5
121,"True,True,True,True",47,,,,,,,,
122,"True,True,False,True",3,,,,,,,,
123,"True,True,False,False",1,,,,,,,,
